Universitas,Program Studi,Jenjang,Email,Status,Email_Lama
Institut Teknologi Sepuluh Nopember,Perencanaan Wilayah Dan Kota,S2,"tu_pwk@its.ac.id, kadep.pwk@its.ac.id",,
Institut Teknologi Sumatera,Perencanaan Wilayah Dan Kota,S1,pwk@itera.ac.id,,
Universitas Jember,Perencanaan Wilayah Dan Kota,S1,KOSONG,,
Universitas Muhammadiyah Pare-pare,Perencanaan Wilayah Dan Kota,S1,KOSONG,,
Universitas Teknologi Yogyakarta,Perencanaan Wilayah Dan Kota,S1,KOSONG,,
Universitas Simalungun,Perencanaan Wilayah Dan Kota,S2,usi_psi@yahoo.com,,
Universitas Negeri Yogyakarta,Pendidikan Teknik Sipil Dan Perencanaan,S1,sipil_uny@yahoo.com,,
Universitas Bangka Belitung,Perencanaan Wilayah Dan Kota,S1,KOSONG,,
Universitas Muhammadiyah Barru,Perencanaan Wilayah Dan Kota,S1,-,,
Universitas Islam Sultan Agung,Perencanaan Wilayah Dan Kota,S2,KOSONG,,
Universitas Muhammadiyah Sorong,Perencanaan Wilayah Dan Kota,S1,KOSONG,,
Universitas Krisnadwipayana,Perencanaan Wilayah Dan Kota,S1,"humas@unkris.ac,id",,
Universitas Sebelas Maret,Perencanaan Wilayah Dan Kota,S1,pwk@ft.uns.ac.id,,
Universitas Pasundan,Perencanaan Wilayah Dan Kota,S1,pwkftunpas@unpas.ac.id,,
Universitas Pembangunan Panca Budi,Perencanaan Wilayah Dan Kota,S2,KOSONG,,
Universitas Muhammadiyah Mataram,Perencanaan Wilayah Dan Kota,S1,baak_umm@telkom.net,,
Universitas Muhammadiyah Banjarmasin,Perencanaan Wilayah Dan Kota,S1,KOSONG,,
Institut Teknologi Nasional Bandung,Perencanaan Wilayah Dan Kota,S1,humas@itenas.ac.id,,
Universitas Jenderal Soedirman,Perencanaan Sumber Daya Lahan,D-III,KOSONG,,
Politeknik Pariwisata Medan,Perencanaan Dan Pengembangan Pariwisata,S2 Terapan,pascasarjana@poltekparmedan.ac.id,,
Universitas Brawijaya,Perencanaan Wilayah Dan Kota,S3,KOSONG,,
Institut Teknologi Bandung,Perencanaan Wilayah Dan Kota (Kampus Cirebon),S1,KOSONG,,
Universitas Sam Ratulangi,Ilmu Perencanaan Pembangunan Wilayah,S2,sim_usr@unsrat.ac.id,,
Universitas Sumatera Utara,Perencanaan Wilayah Dan Kota,S2,KOSONG,,
Universitas Sumatera Utara,Perencanaan Wilayah Dan Kota,S1,KOSONG,,
Politeknik Negeri Bali,Perencanaan Pariwisata,S2 Terapan,pariwisata@pnb.ac.id,,
Universitas PGRI Adi Buana,Perencanaan Wilayah Dan Kota,S1,pwk@unipasby.ac.id,,
Universitas Negeri Gorontalo,Perencanaan Wilayah Dan Kota,S1,KOSONG,,
Universitas Tarumanagara,Perencanaan Wilayah Dan Kota,S2,prodi.s2pwk@ft.untar.ac.id,,
Universitas Islam Sultan Agung,Perencanaan Wilayah Dan Kota,S1,informasi@unissula.ac.id,,
Universitas Hasanuddin,Ekonomi Pembangunan Dan Perencanaan,S2,info@pascaunhas.net,,
Universitas Maritim Raja Ali Haji (UMRAH),Perencanaan Wilayah Dan Kota,S1,KOSONG,,
Universitas Mahasaraswati Denpasar,Perencanaan Wilayah Dan Perdesaan,S2,KOSONG,,
Universitas Palangka Raya,Perencanaan Wilayah Dan Kota,S2,KOSONG,,
Universitas Hindu Indonesia,Perencanaan Wilayah Dan Kota,S1,infos1@unhi.ac.id,,
Universitas 17 Agustus 1945 Samarinda,Perencanaan Wilayah Dan Kota,S1,KOSONG,,
Universitas Trisakti,Perencanaan Wilayah Dan Kota,S1,faltl@trisakti.ac.id,,
Institut Pariwisata Dan Bisnis Internasional,Perencanaan Dan Pengembangan Pariwisata,S2 Terapan,KOSONG,,
Universitas Swadaya Gunung Djati,Perencanaan Wilayah Dan Kota,S1,perencanaanwilayahdankotaugj@gmail.com,,
Universitas Syiah Kuala,Perencanaan Wilayah Dan Kota,S1,pwk@unsyiah.ac.id,,
Universitas Tanjungpura,Perencanaan Wilayah Dan Kota,S1,KOSONG,,
Universitas Sulawesi Barat,Perencanaan Wilayah Dan Kota,S1,KOSONG,,
Universitas Diponegoro,Perencanaan Wilayah Dan Kota,S3,pdip@pwk.undip.ac.id,,
Politeknik Pariwisata NHI Bandung,Perencanaan Dan Pengembangan Pariwisata,S2 Terapan,KOSONG,,
Universitas Islam Negeri Alauddin Makassar,Teknik Perencanaan Wilayah Dan Kota,S1,KOSONG,,
Institut Pertanian Bogor,Ilmu Perencanaan Pembangunan Wilayah Dan Pedesaan,S3,pspwdipb@apps.ipb.ac.id,,
Institut Pertanian Bogor,Ilmu Perencanaan Pembangunan Wilayah Dan Pedesaan,S2,pspwdipb@apps.ipb.ac.id,,
Universitas Muhammadiyah Sinjai,Perencanaan Wilayah Dan Kota,S1,KOSONG,,
Universitas Pakuan,Perencanaan Wilayah Dan Kota,S1,fakultasteknik@unpak.ac.id,,
Universitas Tadulako,Perencanaan Wilayah Dan Kota,S1,KOSONG,,
Institut Teknologi Bandung,Perencanaan Wilayah Dan Kota,S1,itbpwk@pl.itb.ac.id,,
Universitas Sam Ratulangi,Perencanaan Wilayah Dan Kota,S1,info@unsrat.ac.id,,
Universitas Islam Bandung,Perencanaan Wilayah Dan Kota,S2,pascasarjana@unisba.ac.id,,
Universitas Gadjah Mada,Doktor Perencanaan Wilayah Dan Kota,S3,dpwk.ft@ugm.ac.id,,
Universitas Islam Riau,Perencanaan Wilayah Dan Kota,S1,KOSONG,,
Universitas Amikom Yogyakarta,Perencanaan Wilayah Dan Kota,S1,KOSONG,,
Institut Teknologi Bandung,Perencanaan Wilayah Dan Kota,S3,wsalim@pl.itb.ac.id,,
Universitas Winaya Mukti,Perencanaan Wilayah Dan Kota,S1,planologi@unwim.ac.id,,
Universitas Sebelas Maret,Perencanaan Wilayah Dan Kota,S2,s2pwk@ft.uns.ac.id,,
Universitas Agung Podomoro,Perencanaan Wilayah Dan Kota,S1,rektorat@podomorouniversity.ac.id,,
Universitas Negeri Surabaya,Perencanaan Wilayah Dan Kota,S1,KOSONG,,
Institut Teknologi Dan Bisnis Karya Pembangunan Papua,Perencanaan Wilayah Dan Kota,S1,-,,
Institut Teknologi Bandung,Perencanaan Kepariwisataan,S2,siti@sappk.itb.ac.id,,
Universitas Indonesia,Magister Perencanaan Ekonomi Dan Kebijakan Pembangunan,S2,KOSONG,,
Universitas Nahdlatul Ulama Kalimantan Selatan,Perencanaan Wilayah Dan Kota,S1,KOSONG,,
Universitas Sumatera Utara,Perencanaan Pembangunan Wilayah Dan Pedesaan,S2,s2pwd.spsusu@gmail.com,,
Universitas Hasanuddin,Perencanaan Dan Pengembangan Wilayah,S2,info@pascaunhas.net,,
Universitas Hasanuddin,Teknik Perencanaan Prasarana,S2,info@pascanunhas.net,,
Universitas Bosowa,Perencanaan Wilayah Dan Kota,S1,info@universitasbosowa.ac.id,,
Universitas Bosowa,Perencanaan Wilayah Dan Kota,S3,info@universitasbosowa.ac.id,,
Universitas Bina Taruna Gorontalo,Perencanaan Wilayah,S1,KOSONG,,
Politeknik Pariwisata Batam,Perencanaan Dan Pengembangan Pariwisata,S2 Terapan,s2tpd@btp.ac.id,,
Politeknik Negeri Padang,Teknik Perencanaan Irigasi Dan Rawa,D-IV,pnp@polinpdg.ac.id,,
Universitas Bung Hatta,Perencanaan Wilayah Dan Kota,S1,humas@bunghatta.ac.id,,
Universitas Muhammadiyah Makassar,Perencanaan Wilayah Dan Kota,S1,KOSONG,,
Universitas Hasanuddin,Perencanaan Wilayah Dan Kota,S1,arsitek@ft.unhas.ac.id,,
Universitas Muhammadiyah Berau,Perencanaan Wilayah Dan Kota,S1,info@umberau.ac.id,,
Universitas Sumatera Utara,Perencanaan Wilayah,S3,sps@usu.ac.id,,
Universitas Pohuwato,Perencanaan Wilayah,S1,KOSONG,,
Universitas Indonesia,Perencanaan Dan Kebijakan Publik,S2,info@mail.mpkp.ui.ac.id,,
Institut Teknologi Kalimantan,Perencanaan Wilayah Dan Kota,S1,urp@itk.ac.id,,
Institut Sains Dan Teknologi Td Pardede,Perencanaan Wilayah Dan Kota,S1,ftspistp@gmail.com,,
Institut Teknologi Indonesia,Perencanaan Wilayah Dan Kota,S1,KOSONG,,
Universitas Bosowa,Perencanaan Wilayah Dan Kota,S2,info@universitasbosowa.ac.id,,
Institut Pertanian Bogor,Ilmu Perencanaan Wilayah,S2,soil@apps.ipb.ac.id;pspwl_ipb@yahoo.com,,
Universitas Indonesia,Perencanaan Wilayah Dan Kota,S2,KOSONG,,
Universitas Komputer Indonesia,Teknik Perencanaan Wilayah Dan Kota,S1,pwk@unikom.ac.id,,
Institut Teknologi Sains Bandung,Perencanaan Wilayah Dan Kota,S1,office@itsb.ac_id.net,,
Universitas Islam Kuantan Singingi,Perencanaan Wilayah Dan Kota,S1,KOSONG,,
Universitas Terbuka,Perencanaan Wilayah Dan Kota,S1,pwk_fst@ecampus.ut.ac.id,,
Universitas Diponegoro,Perencanaan Tata Ruang Dan Pertanahan,D-IV,ptrp@live.undip.ac.id,,
Universitas Muhammadiyah Bulukumba,Perencanaan Wilayah Dan Kota,S1,KOSONG,,
Universitas Sali Al-Aitaam,Perencanaan Wilayah Dan Kota,S1,KOSONG,,
Universitas Diponegoro,Perencanaan Wilayah Dan Kota,S1,dpwk@pwk.undip.ac.id,,
Universitas Diponegoro,Perencanaan Wilayah Dan Kota,S2,mpwk@live.undip.ac.id,,
Universitas Riau,Perencanaan Wilayah Dan Perdesaan,S2,KOSONG,,
Institut Modern Arsitektur Dan Teknologi,Perencanaan Wilayah Dan Kota,S1,-,,
Institut Teknologi Dan Bisnis Stikom Ambon,Perencanaan Wilayah Dan Kota,S1,KOSONG,,
Universitas Batam,Perencanaan Wilayah,S2,perencanaanwilayah@univbatam.ac.id,,
Universitas Islam Bandung,Perencanaan Wilayah Dan Kota,S1,planologi@unisba.ac.id,,
Universitas Cenderawasih,Perencanaan Wilayah Dan Kota,S2,KOSONG,,
Universitas Indo Global Mandiri,Perencanaan Wilayah Dan Kota,S1,pwk@uigm.ac.id,,
Universitas Pattimura,Perencanaan Wilayah Dan Kota,S1,prodipwkft.1@gmail.com,,
Universitas Brawijaya,Perencanaan Wilayah Dan Kota,S2,KOSONG,,
Universitas Amal Ilmiah Yapis Wamena,Perencanaan Wilayah Dan Kota,S1,unaim.wamena@gmail.com,,
Universitas Hasanuddin,Perencanaan Wilayah Dan Kota,S2,KOSONG,,
Universitas Tarumanagara,Perencanaan Wilayah Dan Kota,S1,prodi.s1pwk@ft.untar.ac.id,,
Politeknik Pariwisata Medan,Manajemen Perencanaan Dan Pemasaran Pariwisata,D-III,mppp@poltekparmedan.ac.id,,
Universitas Diponegoro,Perencanaan Wilayah Dan Kota,D-III,pdip@pwk.undip.ac.id,,
Universitas Semarang,Perencanaan Wilayah Dan Kota,S1,KOSONG,,
Universitas Lakidende Unahaa,Perencanaan Wilayah Dan Kota,S1,KOSONG,,
Universitas Lampung,Perencanaan Wilayah Dan Kota,S2,pspwk@kpa.unila.ac.id,,
Universitas Karimun,Perencanaan Wilayah Dan Kota,S1,KOSONG,,
Universitas Teknologi Sulawesi Utara,Perencanaan Wilayah Dan Kota,S1,info@utsu.ac.id,,
Universitas Gadjah Mada,Perencanaan Wilayah Dan Kota,S1,s1pwk@ugm.ac.id,,
Universitas Gadjah Mada,Magister Perencanaan Wilayah Dan Kota,S2,mpwk@ugm.ac.id,,
Universitas Pakuan,Perencanaan Wilayah Dan Kota,S2,magisterpwk@unpak.ac.id,,
Institut Teknologi Bandung,Perencanaan Wilayah Dan Kota,S2,pmpwk@pl.itb.ac.id,,
Universitas Diponegoro,Perencanaan Tata Ruang Wilayah Dan Kota K. Pekalongan,D-III,psdkupwkpekalongan@gmail.com,,
Universitas Esa Unggul,Perencanaan Wilayah Dan Kota,S1,KOSONG,,
Politeknik Negeri Pontianak,Perencanaan Perumahan Dan Pemukiman,D-IV,tp3d-4@polnep.ac.id,,
Universitas Pradita,Perencanaan Wilayah Dan Kota,S1,info@pradita.ac.id,,
Universitas Karyadarma Kupang,Perencanaan Wilayah Dan Kota,S1,KOSONG,,
Universitas Indonesia,Kajian Pengembangan Perkotaan,S2,kppui@yahoo.com,,
Universitas Gadjah Mada,Magister Rancang Kota,S2,mrk.ft@ugm.ac.id,,
Institut Teknologi Bandung,Rancang Kota,S2,sekres2@ar.itb.ac.id,,
Institut Teknologi Yogyakarta,Ilmu Lingkungan,S2,ity.sttl@gmail.com,,
Universitas Al-Muslim,Ilmu Lingkungan,S1,KOSONG,,
Universitas Andalas,Ilmu Lingkungan,S2,sekretariat@pasca.unand.ac.id,,
Universitas Bengkulu,Ilmu Lingkungan,S1,KOSONG,,
Universitas Bojonegoro,Ilmu Lingkungan,S1,,,
Universitas Brawijaya,Ilmu Lingkungan,S3,KOSONG,,
Universitas Caritas Indonesia,Ilmu Lingkungan,S1,-,,
Universitas Diponegoro,Ilmu Lingkungan,S2,mil@live.undip.ac.id,,
Universitas Diponegoro,Ilmu Lingkungan,S3,dil@live.undip.ac.id,,
Universitas Dumoga Kotamobagu,Ilmu Lingkungan,S1,-,,
Universitas Gadjah Mada,Doktor Ilmu Lingkungan,S3,sps@ugm.ac.id,,
Universitas Gadjah Mada,Magister Ilmu Lingkungan,S2,sps@ugm.ac.id,,
Universitas Halu Oleo,Ilmu Lingkungan,S1,ilmu.lingkungan@uho.ac.id,,
Universitas Hasanuddin,Ilmu Lingkungan,S3,KOSONG,,
Universitas Ibn Khaldun,Ilmu Lingkungan,S1,ft@uika-bogor.ac.id,,
Universitas Indonesia,Ilmu Lingkungan,S2,psil_ui@link.net.id,,
Universitas Indonesia,Ilmu Lingkungan,S3,psil_ui@link.net.id,,
Universitas Islam Negeri Antasari Banjarmasin,Ilmu Lingkungan,S1,KOSONG,,
Universitas Islam Negeri Profesor Kiai Haji Saifuddin Zuhri Purwokerto,Ilmu Lingkungan,S1,KOSONG,,
Universitas Islam Negeri Raden Mas Said Surakarta,Ilmu Lingkungan,S1,KOSONG,,
Universitas Ivet,Ilmu Lingkungan,S1,-,,
Universitas Jambi,Ilmu Lingkungan,S2,KOSONG,,
Universitas Jenderal Soedirman,Ilmu Lingkungan,S2,pmsil_unsoed@yahoo.com,,
Universitas Katolik Soegijapranata,Ilmu Lingkungan,S3,KOSONG,,
Universitas Kuningan,Ilmu Lingkungan,S1,-,,
Universitas Lambung Mangkurat,Ilmu Lingkungan,S1,KOSONG,,
Universitas Lambung Mangkurat,Ilmu Lingkungan,S3,KOSONG,,
Universitas Lampung,Ilmu Lingkungan,S2,pps@unila.ac.id,,
Universitas Lampung,Ilmu Lingkungan,S3,KOSONG,,
Universitas Lancang Kuning,Ilmu Lingkungan,S2,S2ilmu_lingkungan@unilak.ac.id,,
Universitas Maritim Raja Ali Haji (UMRAH),Ilmu Lingkungan,S2,pascamil@umrah.ac.id,,
Universitas Mataram,Ilmu Lingkungan,S1,ilmulingkungan@unram.ac.id,,
Universitas Muhammadiyah Madiun,Ilmu Lingkungan,S1,,,
Universitas Muhammadiyah Mataram,Ilmu Lingkungan,S2,,,
Universitas Muhammadiyah Papua,Ilmu Lingkungan,S1,,,
Universitas Mulawarman,Ilmu Lingkungan,S1,,,
Universitas Mulawarman,Ilmu Lingkungan,S3,,,
Universitas Mulawarman,Ilmu Lingkungan,S2,psmil@unmul.ac.id,,
Universitas Musi Rawas,Ilmu Lingkungan,S2,,,
Universitas Musi Rawas,Ilmu Lingkungan,S1,,,
Universitas Negeri Gorontalo,Ilmu Lingkungan,S1,ilmulingkungan@ung.ac.id,,
Universitas Negeri Gorontalo,Ilmu Lingkungan,S3,,,
Universitas Negeri Manado,Ilmu Lingkungan,S1,,,
Universitas Negeri Padang,Ilmu Lingkungan,S1,lingkungan@fmipa.unp.ac.id,,
Universitas Negeri Padang,Ilmu Lingkungan,S3,,,
Universitas Negeri Padang,Ilmu Lingkungan,S2,ppsunp@telkom.net,,
Universitas Negeri Semarang,Ilmu Lingkungan,S1,lingkungan@mail.unnes.ac.id,,
Universitas Negeri Yogyakarta,Ilmu Lingkungan,S2,,,
Universitas Nusa Cendana,Ilmu Lingkungan,S3,,,
Universitas Padjadjaran,Ilmu Lingkungan,S3,prodi.mil-sil.pasca@unpad.ac.id,,
Universitas Padjadjaran,Ilmu Lingkungan,S2,prodi.mil-sil.pasca@unpad.ac.id,,
Universitas Palangka Raya,Ilmu Lingkungan,S3,,,
Universitas Papua,Ilmu Lingkungan,S3,s3ilmulingkungan@unipa.ac.id,,
Universitas Pembangunan Nasional Veteran Jawa Timur,Ilmu Lingkungan,S2,,,
Universitas Persatuan Islam,Ilmu Lingkungan,S1,ilmulingkunganunipi@gmail.com,,
Universitas Riau,Ilmu Lingkungan,S2,msi-ps@unri.ac.id,,
Universitas Riau,Ilmu Lingkungan,S3,dsl-ps@unri.ac.id,,
Universitas Sebelas Maret,Ilmu Lingkungan,S2,ilmulingkungan@mail.uns.ac.id,,
Universitas Sebelas Maret,Ilmu Lingkungan,S3,s3ilmulingkungan@mail.uns.ac.id,,
Universitas Sebelas Maret,Ilmu Lingkungan,S1,lingkungan@mail.uns.ac.id,,
Universitas Serasan,Ilmu Lingkungan,S1,,,
Universitas Sriwijaya,Ilmu Lingkungan,S3,mppl@pps.unsri.ac.id,,
Universitas Tanjungpura,Ilmu Lingkungan,S2,,,
Universitas Udayana,Ilmu Lingkungan,S2,mil@unud.ac.id,,
Universitas Udayana,Ilmu Lingkungan,S3,dil@unud.ac.id,,
Universitas Wira Bhakti,Ilmu Lingkungan,S1,,,
Institut Pertanian Bogor,Ilmu Pengelolaan Sumberdaya Alam Dan Lingkungan,S2,psl@apps.ipb.ac.id,,
Institut Pertanian Bogor,Manajemen Sumberdaya Perairan,S1,msp@apps.ipb.ac.id,,
Institut Pertanian Bogor,Pengelolaan Sumberdaya Pesisir Dan Lautan,S3,spl@apps.ipb.ac.id,,
Institut Pertanian Bogor,Ekonomi Sumberdaya Dan Lingkungan,S2,esl@apps.ipb.ac.id,,
Institut Pertanian Bogor,Konservasi Sumberdaya Hutan Dan Ekowisata,S1,kshe@apps.ipb.ac.id,,
Institut Pertanian Bogor,Pengelolaan Sumberdaya Pesisir Dan Lautan,S2,spl@apps.ipb.ac.id,,
Institut Pertanian Bogor,Manajemen Sumberdaya Lahan,S1,msl@apps.ipb.ac.id,,
Institut Pertanian Bogor,Pengelolaan Sumberdaya Perairan,S2,msp@apps.ipb.ac.id,,
Institut Pertanian Bogor,Pengelolaan Sumberdaya Perairan,S3,msp@apps.ipb.ac.id,,
Institut Pertanian Bogor,Ekonomi Sumberdaya Kelautan Tropika,S2,esl@apps.ipb.ac.id,,
Institut Pertanian Bogor,Ilmu Pengelolaan Sumberdaya Alam Dan Lingkungan,S3,psl@apps.ipb.ac.id,,
Institut Pertanian Bogor,Ekonomi Sumberdaya Dan Lingkungan,S1,esl@apps.ipb.ac.id,,
Institut Teknologi Bandung,Pengelolaan Sumberdaya Air,S2,psda@ftsl.itb.ac.id,,
Institut Teknologi Dan Bisnis Maritim Balik Diwa,Pemanfaatan Sumberdaya Perairan,S1,,,
Politeknik Ahli Usaha Perikanan,Pemanfaatan Sumberdaya Perikanan,S2 Terapan,magister.psp@politeknikaup.ac.id,,
Politeknik Ahli Usaha Perikanan,Teknologi Pengelolaan Sumberdaya Perairan,D-IV,tps@politeknikaup.ac.id,,
Politeknik Negeri Ambon,Manajemen Sumberdaya Perairan K. Banda Naira,D-IV,msp@polnam.ac.id,,
Politeknik Negeri Lampung,Teknik Sumberdaya Lahan Dan Lingkungan,D-III,ps_tsl@polinela.ac.id,,
Sekolah Tinggi Teknologi Kelautan Balik Diwa,Pemanfaatan Sumberdaya Perairan,S1,,,
Universitas Al-Muslim,Pengelolaan Sumberdaya Alam Dan Lingkungan,S2,,,
Universitas Brawijaya,Pengelolaan Sumberdaya Lingkungan Dan Pembangunan,S2,mppl@ub.ac.id,,
Universitas Cenderawasih,Pengelolaan Sumberdaya Alam Dan Lingkungan,S2,,,
Universitas Diponegoro,Manajemen Sumberdaya Perairan,S3,msp.fpik@live.undip.ac.id,,
Universitas Diponegoro,Manajemen Sumberdaya Perairan,S2,msp.fpik@live.undip.ac.id,,
Universitas Gadjah Mada,Manajemen Sumberdaya Akuatik,S1,msa.fbi@ugm.ac.id,,
Universitas Halmahera,Manajemen Sumberdaya Perairan,S1,info@unier,,
Universitas Hasanuddin,Pengelolaan Sumberdaya Pesisir Terpadu,S2,ppsp.fikp@unhas.ac.id,,
Universitas HKBP Nommensen Pematangsiantar,Manajemen Pengelolaan Sumberdaya Perairan,S1,,,
Universitas Jambi,Pemanfaatan Sumberdaya Perikanan,S1,psp.peternakan@unja.ac.id,,
Universitas Jember,Pengelolaan Sumberdaya Air Pertanian,S2,mpsda@unej.ac.id,,
Universitas Khairun,Pemanfaatan Sumberdaya Perikanan,S1,psp.fpik@unkhair.ac.id,,
Universitas Lambung Mangkurat,Pengelolaan Sumberdaya Alam & Lingkungan,S2,psdaling@ulm.ac.id,,
Universitas Lampung,Sumberdaya Akuatik,S1,,,
Universitas Mataram,Pengelolaan Sumberdaya Alam Dan Lingkungan,S2,psdaling@unram.ac.id,,
Universitas Muhammadiyah Kendari,Pemanfaatan Sumberdaya Perikanan,S1,psp@umkendari.ac.id,,
Universitas Mulawarman,Pengelolaan Sumberdaya Perikanan,S1,psp_fpik@unmul.ac.id,,
Universitas Musamus Merauke,Manajemen Sumberdaya Perairan,S1,msp@unmus.ac.id,,
Universitas Nusa Nipa,Manajemen Sumberdaya Perairan,S1,,,
Universitas Palangka Raya,Pengelolaan Sumberdaya Alam & Lingkungan,S2,psdal@upr.ac.id,,
Universitas Panca Bhakti,Pengelolaan Sumberdaya Alam Dan Lingkungan,S2,,,
Universitas Papua,Konservasi Sumberdaya Hutan,D-III,,,
Universitas Pattimura,Manajemen Sumberdaya Kelautan Dan Pulau-pulau Kecil,S2,psdp.fpik@unpatti.ac.id,,
Universitas Sam Ratulangi,Pengelolaan Sumberdaya Pembangunan,S2,sim_usr@unsrat.ac.id,,
Universitas Serambi Mekkah,Pengelolaan Sumberdaya Alam Dan Lingkungan,S2,pps@serambimekkah.ac.id,,
Universitas Sumatera Utara,Manajemen Sumberdaya Perairan Kampus Kabupaten Nias Utara,S1,msp@usu.ac.id,,
Universitas Syiah Kuala,Pemanfaatan Sumberdaya Perikanan,S1,psp.fpik@usk.ac.id,,
Universitas Syiah Kuala,Pengelolaan Sumberdaya Pesisir Terpadu,S2,ppsp@usk.ac.id,,
Universitas Tadulako,Konservasi Sumberdaya Hutan,D-III,,,
Universitas Tanjungpura,Manajemen Sumberdaya Perairan,S1,msp.fpik@untan.ac.id,,
Universitas Trunojoyo,Manajemen Sumberdaya Perairan,S1,msp@trunojoyo.ac.id,,
Universitas Udayana,Manajemen Sumberdaya Perairan,S1,msp.fpik@unud.ac.id,,
Universitas Al-azhar Indonesia,Pengelolaan Sumber Daya Alam,S2,,,
Universitas Andalas,Pengelolaan Sumber Daya Alam,S2,psdal@pasca.unand.ac.id,,
Universitas Bengkulu,Pengelolaan Sumber Daya Alam,S3,psdal.fp@unib.ac.id,,
Universitas Bengkulu,Pengelolaan Sumber Daya Alam,S2,psdal.fp@unib.ac.id,,
Universitas Muhammadiyah Bangka Belitung,Konservasi Sumber Daya Alam,S1,ksda@unmuhbabel.ac.id,,
Universitas Sumatera Utara,Pengelolaan Sumber Daya Alam Dan Lingkungan,S2,psdal@usu.ac.id,,
Universitas Sumatera Utara,Pengelolaan Sumber Daya Alam Dan Lingkungan,S3,psdal@usu.ac.id,,
Universitas Syiah Kuala,Pengelolaan Sumber Daya Alam,S2,psdl@usk.ac.id,,
Universitas Teknologi Sumbawa,Konservasi Sumber Daya Alam,S1,konservasi@uts.ac.id,,
Universitas Trunojoyo,Pengelolaan Sumber Daya Alam,S3,pascasarjana@trunojoyo.ac.id,,
Universitas Trunojoyo,Pengelolaan Sumber Daya Alam,S2,psdl@trunojoyo.ac.id,,
Politeknik Pertanian Negeri Samarinda,Pengelolaan Lingkungan,D-III,pl@politanisamarinda.ac.id,,
Universitas Hasanuddin,Pengelolaan Lingkungan Hidup,S2,mpslh@pasca.unhas.ac.id,,
Universitas Syiah Kuala,Pengelolaan Lingkungan,S2,mpl@usk.ac.id,,
Universitas Sriwijaya,Pengelolaan Lingkungan,S2,mppl@pps.unsri.ac.id,,
