Universitas,Program Studi,Jenjang,Tipe,Nomor SK,Tahun,Singkatan Umum/Resmi,Email
Universitas Persada Indonesia Yai,Desain Komunikasi Visual,S1,3,7971/SK/BAN-PT/Ak.KP/S/X/2025,2025,UPI Y.A.I,s1desainkomunikasivisual@UPIY.A.I.ac.id
Institut Teknologi Dan Bisnis Tuban,Desain Komunikasi Visual,S1,7,8042/SK/BAN-PT/Ak/S/X/2025,2025,ITB Tuban,s1desainkomunikasivisual@ITBTuban.ac.id
Institut Seni Budaya Indonesia Aceh,Desain Interior,S1,PTN,8107/SK/BAN-PT/Ak.P/S/X/2025,2025,ISBI Aceh,s1desaininterior@ISBIAceh.ac.id
Universitas Kristen Duta Wacana,Desain Produk,S1,5,8230/SK/BAN-PT/Ak.Ppj/S/XI/2025,2025,UKDW,s1desainproduk@UKDW.ac.id
Universitas Kristen Maranatha,Desain Komunikasi Visual,S1,4,8208/SK/BAN-PT/Ak.Ppj/S/XI/2025,2025,UKM,s1desainkomunikasivisual@UKM.ac.id
Universitas Ciputra Surabaya,Desain Mode,S1,7,8320/SK/BAN-PT/Ak-PNB/S/XI/2025,2025,UC,s1desainmode@UC.ac.id
Institut Seni Indonesia Denpasar,Desain Produk,S1,PTN,8275/SK/BAN-PT/Ak/S/XI/2025,2025,ISI Denpasar,s1desainproduk@ISIDenpasar.ac.id
Universitas Negeri Yogyakarta,Desain Komunikasi Visual,S1,PTN,028/SK/BAN-PT/Ak.P/2.0/S1/X/2025,2025,UNY,s1desainkomunikasivisual@UNY.ac.id
Universitas Dian Nuswantoro,Desain Komunikasi Visual,S1,6,8345/SK/BAN-PT/Ak.Ppj/S/XI/2025,2025,UDINUS,s1desainkomunikasivisual@UDINUS.ac.id
Universitas Sampoerna,Desain Komunikasi Visual,S1,3,8406/SK/BAN-PT/Ak.S/S/XI/2025,2025,US,s1desainkomunikasivisual@US.ac.id
Universitas Pelita Harapan,Desain Komunikasi Visual,S1,3,8410/SK/BAN-PT/PEPA-Ppj/S/XI/2025,2025,UPH,s1desainkomunikasivisual@UPH.ac.id
Universitas Multimedia Nusantara Jakarta,Desain,S2,3,049/SK/BAN-PT/Ak.P/2.0/S2/XI/2025,2025,UMN,s2desain@UMN.ac.id
Universitas Esa Unggul,Desain Produk,S1,3,8472/SK/BAN-PT/Ak.KP/S/XII/2025,2025,UEU,s1desainproduk@UEU.ac.id
Universitas Multi Data Palembang,Desain Komunikasi Visual,S1,2,071/SK/BAN-PT/Ak.P/2.0/S1/XII/2025,2025,UMDP,s1desainkomunikasivisual@UMDP.ac.id
Universitas Muhammadiyah Kendari,Desain Komunikasi Visual,S1,9,072/SK/BAN-PT/Ak.P/2.0/S1/XII/2025,2025,UMKENDARI,s1desainkomunikasivisual@UMKENDARI.ac.id
Universitas Negeri Malang,Desain Komunikasi Visual,S1,PTN,20/SK/BAN-PT/Ak.Ppj/S/I/2024,2024,UM,s1desainkomunikasivisual@UM.ac.id
Universitas Adzkia,Desain Komunikasi Visual,S1,10,6110/SK/BAN-PT/Ak.P/S/X/2024,2024,UA,s1desainkomunikasivisual@UA.ac.id
Universitas Islam Negeri Syekh Ali Hasan Ahmad Addary Padangsidimpuan,Desain Komunikasi Visual,S1,PTAN,6111/SK/BAN-PT/Ak.P/S/X/2024,2024,UIN Syekh Ali Hasan,s1desainkomunikasivisual@UINSyekhAliHasan.ac.id
Universitas Prima Indonesia,Desain Komunikasi Visual,S1,1,6060/SK/BAN-PT/Ak/S/X/2024,2024,UNPRI,s1desainkomunikasivisual@UNPRI.ac.id
Institut Seni Indonesia Yogyakarta,Desain Produk,S1,PTN,101/SK/BAN-PT/Ak.Ppj/S/I/2024,2024,ISI Yogyakarta,s1desainproduk@ISIYogyakarta.ac.id
Universitas Satu,Desain Komunikasi Visual,S1,4,109/SK/BAN-PT/Ak.P/S/I/2024,2024,USATU,s1desainkomunikasivisual@USATU.ac.id
Politeknik Bali Maha Werdhi,Desain Komunikasi Visual,D3,8,208/SK/BAN-PT/Ak.P/D3/I/2024,2024,POLTEKBW,d3desainkomunikasivisual@POLTEKBW.ac.id
Universitas Al Hikmah Jepara,Desain Komunikasi Visual,S1,6,204/SK/BAN-PT/Ak.P/S/I/2024,2024,UAH,s1desainkomunikasivisual@UAH.ac.id
Universitas Awal Bros,Desain Komunikasi Visual,S1,17,181/SK/BAN-PT/Ak.P/S/I/2024,2024,UAB,s1desainkomunikasivisual@UAB.ac.id
Universitas Primakara,Desain Komunikasi Visual,S1,8,164/SK/BAN-PT/Ak.P/S/I/2024,2024,UP,s1desainkomunikasivisual@UP.ac.id
Universitas Pendidikan Indonesia,Desain Produk Industri Kampus Tasikmalaya,S1,PTN,266/SK/BAN-PT/Ak/S/I/2024,2024,UPI,s1desainprodukindustrikampustasikmalaya@UPI.ac.id
Institut Desain Dan Bisnis Bali,Desain,S2,8,1030/SK/BAN-PT/Ak.P/M/III/2024,2024,IDB Bali,s2desain@IDBBali.ac.id
Politeknik Negeri Jakarta,Desain Grafis,D4,PTN,898/SK/BAN-PT/Ak/STr/III/2024,2024,PNJ,d4desaingrafis@PNJ.ac.id
Universitas Trilogi,Desain Produk,S1,3,914/SK/BAN-PT/Ak/S/III/2024,2024,TRILOGI,s1desainproduk@TRILOGI.ac.id
Institut Teknologi Dan Bisnis Kristen Bukit Pengharapan,Desain Komunikasi Visual,S1,6,913/SK/BAN-PT/Ak/S/III/2024,2024,ITB KPBP,s1desainkomunikasivisual@ITBKPBP.ac.id
Universitas Agung Podomoro,Desain Produk,S1,3,736/SK/BAN-PT/Ak/S/III/2024,2024,UAP,s1desainproduk@UAP.ac.id
Universitas Mercu Buana,Desain Komunikasi Visual,S1,3,877/SK/BAN-PT/Ak.Ppj/S/III/2024,2024,UMB,s1desainkomunikasivisual@UMB.ac.id
Akademi Kesejahteraan Sosial Ibu Kartini,Desain Mode,D4,6,849/SK/BAN-PT/Ak.P/STr/III/2024,2024,AKSIK,d4desainmode@AKSIK.ac.id
Institut Informatika Dan Bisnis Darmajaya,Desain Interior,S1,2,848/SK/BAN-PT/Ak.P/S/III/2024,2024,IIB Darmajaya,s1desaininterior@IIBDarmajaya.ac.id
Institut Teknologi Dan Bisnis Palcomtech,Desain Komunikasi Visual,D3,2,687/SK/BAN-PT/Ak/D3/III/2024,2024,ITB Palcomtech,d3desainkomunikasivisual@ITBPalcomtech.ac.id
Institut Teknologi Telkom Purwokerto,Desain Produk,S1,6,688/SK/BAN-PT/Ak/S/III/2024,2024,ITTP,s1desainproduk@ITTP.ac.id
Universitas Indraprasta PGRI,Desain Komunikasi Visual,S1,3,672/SK/BAN-PT/PEPA-Ppj/S/II/2024,2024,UNINDRA,s1desainkomunikasivisual@UNINDRA.ac.id
Institut Seni Indonesia Denpasar,Desain Mode,D4,PTN,505/SK/BAN-PT/Ak.KP/STr/II/2024,2024,ISI Denpasar,d4desainmode@ISIDenpasar.ac.id
Institut Sains Dan Teknologi Terpadu Surabaya,Desain Komunikasi Visual,S1,7,604/SK/BAN-PT/Ak/S/II/2024,2024,ISTTS,s1desainkomunikasivisual@ISTTS.ac.id
Universitas Pembangunan Nasional Veteran Jawa Timur,Desain Komunikasi Visual,S1,PTN,670/SK/BAN-PT/Ak/S/II/2024,2024,UPN Veteran Jatim,s1desainkomunikasivisual@UPNVeteranJatim.ac.id
Institut Teknologi Dan Bisnis Kalbis,Desain Komunikasi Visual,S1,3,592/SK/BAN-PT/Ak/S/II/2024,2024,KALBIS Institute,s1desainkomunikasivisual@KALBISInstitute.ac.id
Universitas Maarif Hasyim Latif,Desain Komunikasi Visual,S1,7,593/SK/BAN-PT/Ak/S/II/2024,2024,UMAHA,s1desainkomunikasivisual@UMAHA.ac.id
Universitas Presiden,Desain Komunikasi Visual,S1,4,644/SK/BAN-PT/Ak.Ppj/S/II/2024,2024,PRESIDENT UNIVERSITY,s1desainkomunikasivisual@PRESIDENTUNIVERSITY.ac.id
Universitas Esa Unggul,Desain Interior,S1,3,384/SK/BAN-PT/PEPA-Ppj/S/II/2024,2024,UEU,s1desaininterior@UEU.ac.id
Universitas Syekh Yusuf Al Makassari Gowa,Desain Komunikasi Visual,S1,9,441/SK/BAN-PT/Ak.P/S/II/2024,2024,UNSYAM,s1desainkomunikasivisual@UNSYAM.ac.id
Universitas Metamedia,Desain Komunikasi Visual,S1,10,481/SK/BAN-PT/Ak.P/S/II/2024,2024,UMET,s1desainkomunikasivisual@UMET.ac.id
Universitas Ngudi Waluyo,Pendidikan Vokasional Desain Fashion,S1,6,1965/SK/LAMDIK/Ak/S/XII/2024,2024,UNW,s1pendidikanvokasionaldesainfashion@UNW.ac.id
Institut Desain Dan Bisnis Bali,Desain Interior,S1,8,7199/SK/BAN-PT/Ak/S/XII/2024,2024,IDB Bali,s1desaininterior@IDBBali.ac.id
Universitas Negeri Makassar,Desain Komunikasi Visual,S1,PTN,7124/SK/BAN-PT/Ak/S/XII/2024,2024,UNM,s1desainkomunikasivisual@UNM.ac.id
Universitas Hindu Negeri I Gusti Bagus Sugriwa Denpasar,Desain Komunikasi Visual,S1,PTAN,7094/SK/BAN-PT/Ak.P/S/XII/2024,2024,UHN I Gusti Bagus Sugriwa,s1desainkomunikasivisual@UHNIGustiBagusSugriwa.ac.id
Universitas Lancang Kuning,Desain Interior,S1,17,7019/SK/BAN-PT/Ak/S/XII/2024,2024,UNILAK,s1desaininterior@UNILAK.ac.id
Universitas Pendidikan Ganesha,Desain Komunikasi Visual,D3,PTN,6884/SK/BAN-PT/Ak/D3/XI/2024,2024,UNDIKSHA,d3desainkomunikasivisual@UNDIKSHA.ac.id
Universitas Swadaya Gunung Djati,Desain Komunikasi Visual,S1,4,6926/SK/BAN-PT/Ak.P/S/XI/2024,2024,UNSWAGATI,s1desainkomunikasivisual@UNSWAGATI.ac.id
Sekolah Tinggi Desain Indonesia Bandung,Desain Komunikasi Visual,S1,4,6865/SK/BAN-PT/Ak/S/XI/2024,2024,STDI,s1desainkomunikasivisual@STDI.ac.id
Institut Teknologi Nasional Bandung,Desain Interior,S1,4,6718/SK/BAN-PT/Ak.KP/S/XI/2024,2024,ITENAS,s1desaininterior@ITENAS.ac.id
Universitas Telkom,Desain Komunikasi Visual (Kampus Kabupaten Banyumas),S1,4,6662/SK/BAN-PT/Ak-PNB/S/XI/2024,2024,TEL-U,s1desainkomunikasivisualkampuskabupatenbanyumas@TEL-U.ac.id
Universitas Telkom,Desain Produk (Kampus Kabupaten Banyumas),S1,4,6663/SK/BAN-PT/Ak-PNB/S/XI/2024,2024,TEL-U,s1desainprodukkampuskabupatenbanyumas@TEL-U.ac.id
Institut Kesenian Jakarta,Desain Komunikasi Visual,S1,3,6445/SK/BAN-PT/PEPA-Ppj/S/X/2024,2024,IKJ,s1desainkomunikasivisual@IKJ.ac.id
Institut Teknologi Sepuluh Nopember,Desain Interior,S2,PTN,6308/SK/BAN-PT/Ak/M/X/2024,2024,ITS,s2desaininterior@ITS.ac.id
Institut Teknologi Kalimantan,Desain Komunikasi Visual,S1,PTN,6166/SK/BAN-PT/Ak/S/X/2024,2024,ITK,s1desainkomunikasivisual@ITK.ac.id
Universitas Matana,Desain Komunikasi Visual,S1,4,6224/SK/BAN-PT/Ak/S/X/2024,2024,UM,s1desainkomunikasivisual@UM.ac.id
Universitas Wanita Internasional,Desain Komunikasi Visual,S1,4,6188/SK/BAN-PT/Ak.Ppj/S/X/2024,2024,UWI,s1desainkomunikasivisual@UWI.ac.id
Universitas Wanita Internasional,Desain Interior,S1,4,6192/SK/BAN-PT/Ak.Ppj/S/X/2024,2024,UWI,s1desaininterior@UWI.ac.id
Universitas Surabaya,Desain Komunikasi Visual,S1,7,6221/SK/BAN-PT/Ak.P/S/X/2024,2024,UBAYA,s1desainkomunikasivisual@UBAYA.ac.id
Universitas Ciputra Surabaya,Desain Komunikasi Visual (Kampus Kota Makassar),S1,7,4831/SK/BAN-PT/Ak/S/VII/2024,2024,UC,s1desainkomunikasivisualkampuskotamakassar@UC.ac.id
Universitas Bumigora,Desain Komunikasi Visual,S1,8,4861/SK/BAN-PT/Ak/S/VII/2024,2024,UNIGORA,s1desainkomunikasivisual@UNIGORA.ac.id
Universitas Indonesia Mandiri,Desain Komunikasi Visual,S1,2,5926/SK/BAN-PT/Ak-PNB/S/IX/2024,2024,UIM,s1desainkomunikasivisual@UIM.ac.id
Institut Kesenian Jakarta,Desain Interior,S1,3,4753/SK/BAN-PT/PEPA-Ppj/S/VI/2024,2024,IKJ,s1desaininterior@IKJ.ac.id
Universitas LIA,Desain Komunikasi Visual,S1,3,5794/SK/BAN-PT/Ak.P/S/IX/2024,2024,UNIL,s1desainkomunikasivisual@UNIL.ac.id
Universitas Negeri Malang,Desain Mode,D4,PTN,5852/SK/BAN-PT/PEPA-Ppj/STr/IX/2024,2024,UM,d4desainmode@UM.ac.id
Universitas Putra Indonesia Yptk Padang,Desain Komunikasi Visual,S1,10,5851/SK/BAN-PT/PEPA-Ppj/S/IX/2024,2024,UPI YPTK,s1desainkomunikasivisual@UPIYPTK.ac.id
Politeknik Negeri Samarinda,Desain Produk Kayu Dan Serat,D4,PTN,5626/SK/BAN-PT/Ak/STr/VIII/2024,2024,POLNES,d4desainprodukkayudanserat@POLNES.ac.id
Universitas Komputer Indonesia,Desain Grafis,D3,4,5686/SK/BAN-PT/PEPA-Ppj/D3/VIII/2024,2024,UNIKOM,d3desaingrafis@UNIKOM.ac.id
Institut Desain Dan Bisnis Bali,Desain Komunikasi Visual,S1,8,5353/SK/BAN-PT/Ak/S/VIII/2024,2024,IDB Bali,s1desainkomunikasivisual@IDBBali.ac.id
Universitas Teknologi Bandung,Desain Komunikasi Visual,S1,4,5307/SK/BAN-PT/Ak-PNB/S/VIII/2024,2024,UTB,s1desainkomunikasivisual@UTB.ac.id
Universitas Catur Insan Cendekia,Desain Komunikasi Visual,S1,4,5148/SK/BAN-PT/Ak.Ppj/S/VII/2024,2024,UCIC,s1desainkomunikasivisual@UCIC.ac.id
Universitas Gunadarma,Desain Interior,S1,3,5162/SK/BAN-PT/Ak.Ppj/S/VII/2024,2024,UG,s1desaininterior@UG.ac.id
Universitas Pasundan,Desain Komunikasi Visual,S1,4,5198/SK/BAN-PT/Ak.Ppj/S/VII/2024,2024,UNPAS,s1desainkomunikasivisual@UNPAS.ac.id
Institut Teknologi Dan Bisnis Asia Malang,Desain Komunikasi Visual,S1,7,5201/SK/BAN-PT/Ak.Ppj/S/VII/2024,2024,ITB Asia,s1desainkomunikasivisual@ITBAsia.ac.id
Universitas Brawijaya,Desain Grafis,D4,PTN,4649/SK/BAN-PT/Ak/STr/VI/2024,2024,UB,d4desaingrafis@UB.ac.id
STMIK Amik Bandung,Desain Komunikasi Visual,S1,4,4629/SK/BAN-PT/Ak.P/S/VI/2024,2024,STMIK-AMIK,s1desainkomunikasivisual@STMIK-AMIK.ac.id
Institut Teknologi Bandung,Desain,S2,PTN,4966/SK/BAN-PT/Ak.KP/M/VII/2024,2024,ITB,s2desain@ITB.ac.id
Universitas Bina Nusantara,Desain,S2,3,4920/SK/BAN-PT/Ak.P/M/VII/2024,2024,BINUS,s2desain@BINUS.ac.id
Institut Seni Indonesia Padang Panjang,Desain Komunikasi Visual,S1,PTN,5017/SK/BAN-PT/PEPA-Ppj/S/VII/2024,2024,ISI Padang Panjang,s1desainkomunikasivisual@ISIPadangPanjang.ac.id
Universitas Nahdlatul Ulama Pasuruan,Desain Komunikasi Visual,S1,7,4416/SK/BAN-PT/Ak-PNB/S/V/2024,2024,UNU Pasuruan,s1desainkomunikasivisual@UNUPasuruan.ac.id
Institut Teknologi Bandung,Desain Komunikasi Visual,S1,PTN,4270/SK/BAN-PT/Ak.KP/S/V/2024,2024,ITB,s1desainkomunikasivisual@ITB.ac.id
Universitas Kristen Maranatha,Desain Interior,S1,4,4386/SK/BAN-PT/Ak.Ppj/S/V/2024,2024,UKM,s1desaininterior@UKM.ac.id
Institut Filsafat Dan Teknologi Kreatif Ledalero,Desain Komunikasi Visual,S1,15,4112/SK/BAN-PT/Ak.P/S/V/2024,2024,IFTK Ledalero,s1desainkomunikasivisual@IFTKLedalero.ac.id
Sekolah Tinggi Desain LaSalle,Fashion Desain,D4,3,4095/SK/BAN-PT/PEPA-Ppj/STr/V/2024,2024,LaSalle College,d4fashiondesain@LaSalleCollege.ac.id
Universitas Sebelas Maret,Desain Komunikasi Visual,D3,PTN,4050/SK/BAN-PT/Ak/D3/V/2024,2024,UNS,d3desainkomunikasivisual@UNS.ac.id
Universitas Potensi Utama,Desain Interior,S1,1,4025/SK/BAN-PT/Ak.Ppj/S/V/2024,2024,UP,s1desaininterior@UP.ac.id
Universitas Bina Nusantara,Desain Produk,S1,3,4005/SK/BAN-PT/PEPA-Ppj/S/V/2024,2024,BINUS,s1desainproduk@BINUS.ac.id
Universitas Ma Chung,Desain Komunikasi Visual -,S1,7,3910/SK/BAN-PT/Ak/S/IV/2024,2024,UNIMAC,s1desainkomunikasivisual@UNIMAC.ac.id
Universitas Potensi Utama,Desain Komunikasi Visual,S1,1,3930/SK/BAN-PT/Ak.Ppj/S/IV/2024,2024,UP,s1desainkomunikasivisual@UP.ac.id
Universitas Sains Dan Teknologi Komputer,Desain Komunikasi Visual,S1,6,3878/SK/BAN-PT/PEPA-Ppj/S/IV/2024,2024,STEKOM,s1desainkomunikasivisual@STEKOM.ac.id
Universitas Internasional Semen Indonesia,Desain Komunikasi Visual,S1,7,3678/SK/BAN-PT/Ak.KP/S/IV/2024,2024,UISI,s1desainkomunikasivisual@UISI.ac.id
Institut Seni Indonesia Denpasar,Desain Interior,S1,PTN,3745/SK/BAN-PT/Ak.KP/S/IV/2024,2024,ISI Denpasar,s1desaininterior@ISIDenpasar.ac.id
Institut Seni Indonesia Denpasar,Desain Komunikasi Visual,S1,PTN,3747/SK/BAN-PT/Ak.KP/S/IV/2024,2024,ISI Denpasar,s1desainkomunikasivisual@ISIDenpasar.ac.id
Universitas Bunda Mulia,Desain Komunikasi Visual,S1,3,3761/SK/BAN-PT/Ak.KP/S/IV/2024,2024,UBM,s1desainkomunikasivisual@UBM.ac.id
Institut Informatika Indonesia Surabaya,Desain Komunikasi Visual,S1,7,3822/SK/BAN-PT/Ak.Ppj/S/IV/2024,2024,III Surabaya,s1desainkomunikasivisual@IIISurabaya.ac.id
Universitas Pembangunan Jaya,Desain Produk,S1,4,3845/SK/BAN-PT/Ak.Ppj/S/IV/2024,2024,UPJ,s1desainproduk@UPJ.ac.id
Universitas Nusa Nipa,Desain Komunikasi Visual,S1,15,3801/SK/BAN-PT/Ak.P/S/IV/2024,2024,UNIPA,s1desainkomunikasivisual@UNIPA.ac.id
Universitas Kalbis,Desain Komunikasi Visual,S1,3,1255/SK/BAN-PT/Ak-PNB/S/IV/2024,2024,KALBIS University,s1desainkomunikasivisual@KALBISUniversity.ac.id
Universitas PGRI Jombang,Desain Komunikasi Visual,S1,7,1231/SK/BAN-PT/Ak.P/S/IV/2024,2024,UNIP,s1desainkomunikasivisual@UNIP.ac.id
Institut Seni Indonesia Padang Panjang,Desain Produk,S1,PTN,1116/SK/BAN-PT/Ak/S/IV/2024,2024,ISI Padang Panjang,s1desainproduk@ISIPadangPanjang.ac.id
Sekolah Tinggi Desain Indonesia Bandung,Desain Interior,S1,4,1104/SK/BAN-PT/Ak/S/IV/2024,2024,STDI,s1desaininterior@STDI.ac.id
Universitas Hayam Wuruk Perbanas,Desain Komunikasi Visual,S1,7,1086/SK/BAN-PT/Ak/S/IV/2024,2024,UHW Perbanas,s1desainkomunikasivisual@UHWPerbanas.ac.id
Institut Kesenian Jakarta,Desain Produk,S1,3,1125/SK/BAN-PT/PEPA-Ppj/S/IV/2024,2024,IKJ,s1desainproduk@IKJ.ac.id
Institut Seni Budaya Indonesia Bandung,Desain Komunikasi Visual,S1,PTN,1031/SK/BAN-PT/Ak.P/S/III/2024,2024,ISBI Bandung,s1desainkomunikasivisual@ISBIBandung.ac.id
Universitas Muhammadiyah Purwokerto,Desain Komunikasi Visual,S1,6,1032/SK/BAN-PT/Ak.P/S/III/2024,2024,UMP,s1desainkomunikasivisual@UMP.ac.id
Universitas Nusa Putra,Desain Komunikasi Visual,S1,4,471/SK/BAN-PT/Ak.Ppj/S/II/2023,2023,UNSAP,s1desainkomunikasivisual@UNSAP.ac.id
Universitas Nahdlatul Ulama Sidoarjo,Desain Komunikasi Visual,S1,7,704/SK/BAN-PT/Ak/S/III/2023,2023,UNUSIDA,s1desainkomunikasivisual@UNUSIDA.ac.id
Universitas Pembangunan Jaya,Desain Komunikasi Visual,S1,4,830/SK/BAN-PT/Ak.Ppj/S/III/2023,2023,UPJ,s1desainkomunikasivisual@UPJ.ac.id
Universitas Negeri Surabaya,Desain Komunikasi Visual,S1,PTN,978/SK/BAN-PT/Ak/S/III/2023,2023,UNESA,s1desainkomunikasivisual@UNESA.ac.id
Universitas Telkom,Desain Interior,S1,4,1120/SK/BAN-PT/Ak.Ppj/S/III/2023,2023,TEL-U,s1desaininterior@TEL-U.ac.id
Universitas Trisakti,Desain Produk,S2,3,1463/SK/BAN-PT/Ak.Ppj/M/IV/2023,2023,Usakti,s2desainproduk@Usakti.ac.id
Universitas Tarumanagara,Desain Komunikasi Visual,S1,3,1695/SK/BAN-PT/Ak.KP/S/V/2023,2023,UNTAR,s1desainkomunikasivisual@UNTAR.ac.id
Universitas Indo Global Mandiri,Desain Komunikasi Visual,S1,2,1958/SK/BAN-PT/Ak.Ppj/S/V/2023,2023,UIGM,s1desainkomunikasivisual@UIGM.ac.id
Universitas Mercu Buana,Desain Interior,S1,3,2345/SK/BAN-PT/Ak/S/VI/2023,2023,UMB,s1desaininterior@UMB.ac.id
Universitas Prasetiya Mulya,Desain Produk,S1,3,2462/SK/BAN-PT/Ak/S/VI/2023,2023,Prasmul,s1desainproduk@Prasmul.ac.id
Sekolah Tinggi Desain LaSalle,Desain Interior,S1,3,2481/SK/BAN-PT/Ak/S/VI/2023,2023,LaSalle College,s1desaininterior@LaSalleCollege.ac.id
Universitas Dian Nuswantoro,Desain Komunikasi Visual (Kampus Kota Kediri),S1,6,2680/SK/BAN-PT/Ak/S/VII/2023,2023,UDINUS,s1desainkomunikasivisualkampuskotakediri@UDINUS.ac.id
Universitas Aufa Royhan,Pendidikan Vokasional Desain Fashion,S1,1,787/SK/LAMDIK/Ak/S/VIII/2023,2023,UAR,s1pendidikanvokasionaldesainfashion@UAR.ac.id
Universitas Komputer Indonesia,Desain Komunikasi Visual,S1,4,3587/SK/BAN-PT/Ak.Ppj/S/IX/2023,2023,UNIKOM,s1desainkomunikasivisual@UNIKOM.ac.id
Universitas Selamat Sri,Desain Komunikasi Visual,S1,6,3894/SK/BAN-PT/Ak.Ppj/S/IX/2023,2023,UNISS,s1desainkomunikasivisual@UNISS.ac.id
Politeknik Bina Madani,Desain Media,D4,4,4407/SK/BAN-PT/Ak/STr/X/2023,2023,POLTEKBIMA,d4desainmedia@POLTEKBIMA.ac.id
Universitas Telkom,Desain,S2,4,4520/SK/BAN-PT/Ak/M/XI/2023,2023,TEL-U,s2desain@TEL-U.ac.id
Akademi Seni Rupa Dan Desain MSD,Desain Komunikasi Visual,D3,5,4669/SK/BAN-PT/PEPA-Ppj/D3/XI/2023,2023,ASRIDE MSD,d3desainkomunikasivisual@ASRIDEMSD.ac.id
Universitas Bina Nusantara,Desain Interior,S1,3,4678/SK/BAN-PT/PEPA-Ppj/S/XI/2023,2023,BINUS,s1desaininterior@BINUS.ac.id
Universitas Paramadina,Desain Produk,S1,3,4702/SK/BAN-PT/Ak/S/XI/2023,2023,PARAMADINA,s1desainproduk@PARAMADINA.ac.id
Sekolah Tinggi Seni Rupa Dan Desain Visi Indonesia,Desain Komunikasi Visual,S1,5,4996/SK/BAN-PT/Ak.Ppj/S/XI/2023,2023,STSRD Visi,s1desainkomunikasivisual@STSRDVisi.ac.id
Institut Teknologi Nasional Bandung,Desain Komunikasi Visual,S1,4,4977/SK/BAN-PT/Ak.Ppj/S/XI/2023,2023,ITENAS,s1desainkomunikasivisual@ITENAS.ac.id
Universitas Komputer Indonesia,Desain Interior,S1,4,5321/SK/BAN-PT/PEPA-Ppj/S/XII/2023,2023,UNIKOM,s1desaininterior@UNIKOM.ac.id
Institut Sains Dan Teknologi Al-Kamal,Desain Komunikasi Visual,S1,3,5326/SK/BAN-PT/PEPA-Ppj/S/XII/2023,2023,ISTN,s1desainkomunikasivisual@ISTN.ac.id
Universitas Mercu Buana,Desain Produk,S1,3,5317/SK/BAN-PT/PEPA-Ppj/S/XII/2023,2023,UMB,s1desainproduk@UMB.ac.id
Universitas Negeri Semarang,Desain Komunikasi Visual,D3,PTN,5341/SK/BAN-PT/PEPA-Ppj/D3/XII/2023,2023,UNNES,d3desainkomunikasivisual@UNNES.ac.id
Institut Seni Budaya Indonesia Tanah Papua,Desain Komunikasi Visual,S1,PTN,559/SK/BAN-PT/Akred/S/I/2022,2022,ISBI Tanah Papua,s1desainkomunikasivisual@ISBITanahPapua.ac.id
Institut Teknologi Sepuluh Nopember,Desain Produk,S1,PTN,355/SK/BAN-PT/Ak-PPJ/S/I/2022,2022,ITS,s1desainproduk@ITS.ac.id
Sekolah Tinggi Seni Rupa Dan Desain Visi Indonesia,Desain Komunikasi Visual,D3,5,442/SK/BAN-PT/Ak-PPJ/Dipl-III/I/2022,2022,STSRD Visi,d3desainkomunikasivisual@STSRDVisi.ac.id
Universitas Islam Nahdlatul Ulama Jepara,Desain Produk,S1,6,406/SK/BAN-PT/Ak-PPJ/S/I/2022,2022,UNISNU,s1desainproduk@UNISNU.ac.id
Institut Seni Indonesia Padang Panjang,Desain Mode,D4,PTN,686/SK/BAN-PT/Akred/ST/II/2022,2022,ISI Padang Panjang,d4desainmode@ISIPadangPanjang.ac.id
Universitas Negeri Surabaya,Desain Grafis,D4,PTN,1169/SK/BAN-PT/Akred/ST/II/2022,2022,UNESA,d4desaingrafis@UNESA.ac.id
Universitas Bina Nusantara,Desain Komunikasi Visual,S1,3,1415/SK/BAN-PT/Akred-Itnl/S/III/2022,2022,BINUS,s1desainkomunikasivisual@BINUS.ac.id
Institut Teknologi Bandung,Desain Produk,S1,PTN,2438/SK/BAN-PT/AK-ISK/S/IV/2022,2022,ITB,s1desainproduk@ITB.ac.id
Universitas Paramadina,Desain Komunikasi Visual,S1,3,3031/SK/BAN-PT/Ak-PPJ/S/V/2022,2022,PARAMADINA,s1desainkomunikasivisual@PARAMADINA.ac.id
Institut Seni Indonesia Yogyakarta,Desain Interior,S1,PTN,3926/SK/BAN-PT/Akred-PMT/S/VI/2022,2022,ISI Yogyakarta,s1desaininterior@ISIYogyakarta.ac.id
Institut Teknologi Dan Bisnis Stikom Ambon,Desain Komunikasi Visual,S1,12,4020/SK/BAN-PT/PB-PS/S/VII/2022,2022,ITB Stikom Ambon,s1desainkomunikasivisual@ITBStikomAmbon.ac.id
Universitas Tarumanagara,Desain Interior,S1,3,4345/SK/BAN-PT/Akred/S/VII/2022,2022,UNTAR,s1desaininterior@UNTAR.ac.id
Institut Komunikasi Dan Bisnis LSPR,Desain Komunikasi Visual,S1,3,5082/SK/BAN-PT/Ak/S/VII/2022,2022,LSPR,s1desainkomunikasivisual@LSPR.ac.id
Universitas Sebelas Maret,Desain Komunikasi Visual,S1,PTN,5244/SK/BAN-PT/Ak-PPJ/S/VIII/2022,2022,UNS,s1desainkomunikasivisual@UNS.ac.id
Universitas Muhammadiyah Tangerang,Desain Komunikasi Visual,S1,4,5332/SK/BAN-PT/Ak/S/VIII/2022,2022,UMT,s1desainkomunikasivisual@UMT.ac.id
