Universitas,Program Studi,Jenjang,Tipe,Nomor SK,Tahun,email,Peringkat_Akreditasi,Tanggal_Kadaluarsa,Status_Kadaluarsa
Universitas Bina Insani,Desain Komunikasi Visual,S1,4,7211/SK/BAN-PT/Ak.P/2.0/S1/IX/2025,2025,info@binainsani.ac.id,Terakreditasi Sementara,2030-09-23,Masih Berlaku
Universitas Sebelas Maret,Desain Media Digital,D4,PTN,7212/SK/BAN-PT/Ak.P/2.0/D4/IX/2025,2025,humas@mail.uns.ac.id,Terakreditasi Sementara,2030-09-23,Masih Berlaku
Institut Seni Indonesia Surakarta,Desain Komunikasi Visual,S1,PTN,7799/SK/BAN-PT/Ak.S/S/X/2025,2025,direct@isi-ska.ac.id,Baik Sekali,2030-12-16,Masih Berlaku
Institut Teknologi Sepuluh Nopember,Desain Interior,S1,PTN,7798/SK/BAN-PT/Ak.Ppj/S/X/2025,2025,interior@its.ac.id,A,2030-09-23,Masih Berlaku
Universitas Muhammadiyah Surabaya,Desain Komunikasi Visual,S1,7,7820/SK/BAN-PT/Ak.S/S/X/2025,2026,humas@um-surabaya.ac.id,Baik,2031-02-03,Masih Berlaku
Universitas Pradita,Desain Interior,S1,3,7871/SK/BAN-PT/Ak.Ppj/S/X/2025,2025,info@pradita.ac.id,Baik,2030-10-07,Masih Berlaku
Universitas Telkom,Desain Komunikasi Visual (Kampus Jakarta),S1,4,7852/SK/BAN-PT/Ak/S/X/2025,2025,info@telkomuniversity.ac.id,Baik,2030-10-07,Masih Berlaku
Universitas Pelita Harapan,Desain Produk,S1,3,8017/SK/BAN-PT/Ak/S/X/2025,2025,sod.product@uph.edu,Unggul,2030-10-15,Masih Berlaku
Sekolah Tinggi Teknologi Muhammadiyah AR Fachruddin,Desain Komunikasi Visual,S1,7,8009/SK/BAN-PT/Ak/S/X/2025,2025,sttmarfachruddin@gmail.com,Baik,2030-10-15,Masih Berlaku
Institut Teknologi Dan Bisnis Tuban,Desain Komunikasi Visual,S1,7,8042/SK/BAN-PT/Ak/S/X/2025,2025,info@itbtuban.ac.id,Baik,2030-10-22,Masih Berlaku
Institut Seni Budaya Indonesia Aceh,Desain Interior,S1,PTN,8107/SK/BAN-PT/Ak.P/S/X/2025,2025,info@isbiaceh.ac.id,Baik,2027-10-28,Masih Berlaku
Universitas Kristen Duta Wacana,Desain Produk,S1,5,8230/SK/BAN-PT/Ak.Ppj/S/XI/2025,2025,fad@staff.ukdw.ac.id,B,2030-11-02,Masih Berlaku
Universitas Kristen Maranatha,Desain Komunikasi Visual,S1,4,8208/SK/BAN-PT/Ak.Ppj/S/XI/2025,2025,viscom.creahum@maranatha.edu,Baik Sekali,2030-11-04,Masih Berlaku
Institut Seni Indonesia Denpasar,Desain Produk,S1,PTN,8275/SK/BAN-PT/Ak/S/XI/2025,2025,humas@isi-dps.ac.id,Baik,2030-11-11,Masih Berlaku
Universitas Negeri Yogyakarta,Desain Komunikasi Visual,S1,PTN,028/SK/BAN-PT/Ak.P/2.0/S1/X/2025,2025,humas@uny.ac.id,Terakreditasi Sementara,2030-10-21,Masih Berlaku
Universitas Dian Nuswantoro,Desain Komunikasi Visual,S1,6,8345/SK/BAN-PT/Ak.Ppj/S/XI/2025,2025,sekretariat@dinus.ac.id,Unggul,2030-11-16,Masih Berlaku
Universitas Sampoerna,Desain Komunikasi Visual,S1,3,8406/SK/BAN-PT/Ak.S/S/XI/2025,2025,maria.wahyuni@sampoernafoundation.org,Baik,,Masih Berlaku
Universitas Pelita Harapan,Desain Komunikasi Visual,S1,3,8410/SK/BAN-PT/PEPA-Ppj/S/XI/2025,2025,info@uph.edu,Baik Sekali,2030-11-25,Masih Berlaku
Universitas Multimedia Nusantara Jakarta,Desain,S2,3,049/SK/BAN-PT/Ak.P/2.0/S2/XI/2025,2025,info@umn.ac.id,Terakreditasi Sementara,2030-11-18,Masih Berlaku
Universitas Esa Unggul,Desain Produk,S1,3,8472/SK/BAN-PT/Ak.KP/S/XII/2025,2025,info@esaunggul.ac.id,Unggul,2030-05-06,Masih Berlaku
Universitas Multi Data Palembang,Desain Komunikasi Visual,S1,2,071/SK/BAN-PT/Ak.P/2.0/S1/XII/2025,2025,kuliah@mdp.ac.id,Terakreditasi Pertama,2027-12-02,Masih Berlaku
Universitas Muhammadiyah Kendari,Desain Komunikasi Visual,S1,9,072/SK/BAN-PT/Ak.P/2.0/S1/XII/2025,2025,humas@umkendari.ac.id,Terakreditasi Pertama,2027-12-02,Masih Berlaku
Universitas Negeri Malang,Desain Komunikasi Visual,S1,PTN,20/SK/BAN-PT/Ak.Ppj/S/I/2024,2024,info@sastra.um.ac.id,A,2027-09-06,Masih Berlaku
Universitas Adzkia,Desain Komunikasi Visual,S1,10,6110/SK/BAN-PT/Ak.P/S/X/2024,2024,info@adzkia.ac.id,Terakreditasi Sementara,2029-10-03,Masih Berlaku
Universitas Islam Negeri Syekh AIi Hasan Ahmad Addary Padangsidimpuan,Desain Komunikasi Visual,S1,PTAN,6111/SK/BAN-PT/Ak.P/S/X/2024,2024,dkv@uinsyahada.ac.id,Terakreditasi Sementara,2029-10-03,Masih Berlaku
Universitas Prima Indonesia,Desain Komunikasi Visual,S1,1,6060/SK/BAN-PT/Ak/S/X/2024,2024,info@unprimdn.ac.id,Baik,2029-10-03,Masih Berlaku
Institut Seni Indonesia Yogyakarta,Desain Produk,S1,PTN,101/SK/BAN-PT/Ak.Ppj/S/I/2024,2024,arts@isi.ac.id,Baik Sekali,2028-06-07,Masih Berlaku
Universitas Primakara,Desain Komunikasi Visual,S1,8,164/SK/BAN-PT/Ak.P/S/I/2024,2026,info@primakara.ac.id,Baik,,Masih Berlaku
Universitas Pendidikan Indonesia,Desain Produk Industri Kampus Tasikmalaya,S1,PTN,266/SK/BAN-PT/Ak/S/I/2024,2024,desainprodukindustri@upi.edu,Baik,2029-01-30,Masih Berlaku
Institut Desain Dan Bisnis Bali,Desain,S2,8,1030/SK/BAN-PT/Ak.P/M/III/2024,2024,info@idbbali.ac.id,Terakreditasi Sementara,2029-03-26,Masih Berlaku
Politeknik Negeri Jakarta,Desain Grafis,D-IV,PTN,898/SK/BAN-PT/Ak/STr/III/2024,2024,grafika@pnj.ac.id,Baik,2029-03-19,Masih Berlaku
Universitas Trilogi,Desain Produk,S1,3,914/SK/BAN-PT/Ak/S/III/2024,2024,info@universitas-trilogi.ac.id,Baik,2029-03-19,Masih Berlaku
Institut Teknologi Dan Bisnis Kristen Bukit Pengharapan,Desain Komunikasi Visual,S1,6,913/SK/BAN-PT/Ak/S/III/2024,2024,info@itbkbp.ac.id,Baik,2029-03-19,Masih Berlaku
Universitas Agung Podomoro,Desain Produk,S1,3,736/SK/BAN-PT/Ak/S/III/2024,2024,rektorat@podomorouniversity.ac.id,Baik Sekali,2029-03-13,Masih Berlaku
Universitas Mercu Buana,Desain Komunikasi Visual,S1,3,877/SK/BAN-PT/Ak.Ppj/S/III/2024,2024,umb@mercubuana.ac.id,B,2029-03-27,Masih Berlaku
Institut Teknologi Dan Bisnis Palcomtech,Desain Komunikasi Visual,D-III,2,687/SK/BAN-PT/Ak/D3/III/2024,2024,info@palcomtech.ac.id,Baik Sekali,2029-03-05,Masih Berlaku
Institut Teknologi Telkom Purwokerto,Desain Produk,S1,6,688/SK/BAN-PT/Ak/S/III/2024,2024,info@ittelkom-pwt.ac.id,Baik,2029-03-05,Masih Berlaku
Universitas Indraprasta PGRI,Desain Komunikasi Visual,S1,3,672/SK/BAN-PT/PEPA-Ppj/S/II/2024,2024,kampus@unindra.ac.id,B,2029-03-01,Masih Berlaku
Institut Seni Indonesia Denpasar,Desain Mode,D-IV,PTN,505/SK/BAN-PT/Ak.KP/STr/II/2024,2024,rektor@isi-dps.ac.id,Unggul,2027-08-23,Masih Berlaku
Institut Sains Dan Teknologi Terpadu Surabaya,Desain Komunikasi Visual,S1,7,604/SK/BAN-PT/Ak/S/II/2024,2024,dkv@istts.ac.id,Baik,2029-02-27,Masih Berlaku
Universitas Pembangunan Nasional Veteran Jawa Timur,Desain Komunikasi Visual,S1,PTN,670/SK/BAN-PT/Ak/S/II/2024,2024,humas@upnjatim.ac.id,Baik,2029-02-27,Masih Berlaku
Institut Teknologi Dan Bisnis Kalbis,Desain Komunikasi Visual,S1,3,592/SK/BAN-PT/Ak/S/II/2024,2024,info@kalbis.ac.id,Baik Sekali,2029-02-27,Masih Berlaku
Universitas Maarif Hasyim Latif,Desain Komunikasi Visual,S1,7,593/SK/BAN-PT/Ak/S/II/2024,2024,dkv@umaha.ac.id,Baik Sekali,2029-02-27,Masih Berlaku
Universitas Presiden,Desain Komunikasi Visual,S1,4,644/SK/BAN-PT/Ak.Ppj/S/II/2024,2024,vcd@president.ac.id,B,2029-02-27,Masih Berlaku
Universitas Esa Unggul,Desain Interior,S1,3,384/SK/BAN-PT/PEPA-Ppj/S/II/2024,2024,info@esaunggul.ac.id,Baik,2028-08-28,Masih Berlaku
Universitas Syekh Yusuf Al Makassari Gowa,Desain Komunikasi Visual,S1,9,441/SK/BAN-PT/Ak.P/S/II/2024,2026,info@usyam.ac.id,Baik,2027-02-21,Masih Berlaku
Institut Desain Dan Bisnis Bali,Desain Interior,S1,8,7199/SK/BAN-PT/Ak/S/XII/2024,2024,info@idbbali.ac.id,Unggul,2029-12-15,Masih Berlaku
Universitas Negeri Makassar,Desain Komunikasi Visual,S1,PTN,7124/SK/BAN-PT/Ak/S/XII/2024,2024,humas@unm.ac.id,Baik Sekali,2029-12-15,Masih Berlaku
Universitas Hindu Negeri I Gusti Bagus Sugriwa Denpasar,Desain Komunikasi Visual,S1,PTAN,7094/SK/BAN-PT/Ak.P/S/XII/2024,2024,info@uhnsugriwa.ac.id,Terakreditasi Sementara,2029-12-11,Masih Berlaku
Universitas Lancang Kuning,Desain Interior,S1,17,7019/SK/BAN-PT/Ak/S/XII/2024,2024,info@unilak.ac.id,Baik,2029-12-11,Masih Berlaku
Universitas Pendidikan Ganesha,Desain Komunikasi Visual,D-III,PTN,6884/SK/BAN-PT/Ak/D3/XI/2024,2024,dkv@undiksha.ac.id,Baik Sekali,2029-11-26,Masih Berlaku
Universitas Swadaya Gunung Djati,Desain Komunikasi Visual,S1,4,6926/SK/BAN-PT/Ak.P/S/XI/2024,2024,humas@ugj.ac.id,Terakreditasi Sementara,2029-11-26,Masih Berlaku
Sekolah Tinggi Desain Indonesia Bandung,Desain Komunikasi Visual,S1,4,6865/SK/BAN-PT/Ak/S/XI/2024,2024,stdi.bandung@stdi.ac.id,Baik,2029-11-19,Masih Berlaku
Institut Teknologi Nasional Bandung,Desain Interior,S1,4,6718/SK/BAN-PT/Ak.KP/S/XI/2024,2024,humas@itenas.ac.id,Unggul,2028-05-09,Masih Berlaku
Universitas Telkom,Desain Komunikasi Visual (Kampus Kabupaten Banyumas),S1,4,6662/SK/BAN-PT/Ak-PNB/S/XI/2024,2024,info@telkomuniversity.ac.id,Baik,2026-09-14,107 hari lagi kadaluarsa
Universitas Telkom,Desain Produk (Kampus Kabupaten Banyumas),S1,4,6663/SK/BAN-PT/Ak-PNB/S/XI/2024,2024,info@telkomuniversity.ac.id,Baik,2029-03-05,Masih Berlaku
Institut Kesenian Jakarta,Desain Komunikasi Visual,S1,3,6445/SK/BAN-PT/PEPA-Ppj/S/X/2024,2024,deskov@ikj.ac.id,B,2029-10-22,Masih Berlaku
Institut Teknologi Sepuluh Nopember,Desain Interior,S2,PTN,6308/SK/BAN-PT/Ak/M/X/2024,2024,humas@its.ac.id,Baik,2029-10-19,Masih Berlaku
Institut Teknologi Kalimantan,Desain Komunikasi Visual,S1,PTN,6166/SK/BAN-PT/Ak/S/X/2024,2024,dkv@itk.ac.id,Baik,2029-10-08,Masih Berlaku
Universitas Wanita Internasional,Desain Komunikasi Visual,S1,4,6188/SK/BAN-PT/Ak.Ppj/S/X/2024,2024,dkv@iwu.ac.id,A,2029-10-23,Masih Berlaku
Universitas Wanita Internasional,Desain Interior,S1,4,6192/SK/BAN-PT/Ak.Ppj/S/X/2024,2024,di@iwu.ac.id,B,2029-10-23,Masih Berlaku
Universitas Surabaya,Desain Komunikasi Visual,S1,7,6221/SK/BAN-PT/Ak.P/S/X/2024,2024,humas@unit.ubaya.ac.id,Terakreditasi Sementara,2029-10-08,Masih Berlaku
Universitas Ciputra Surabaya,Desain Komunikasi Visual (Kampus Kota Makassar),S1,7,4831/SK/BAN-PT/Ak/S/VII/2024,2024,info@ciputra.ac.id,Baik,2029-07-02,Masih Berlaku
Universitas Bumigora,Desain Komunikasi Visual,S1,8,4861/SK/BAN-PT/Ak/S/VII/2024,2024,dkv@universitasbumigora.ac.id,Baik,2029-07-02,Masih Berlaku
Universitas Indonesia Mandiri,Desain Komunikasi Visual,S1,2,5926/SK/BAN-PT/Ak-PNB/S/IX/2024,2021,info@uimandiri.ac.id,Baik,2026-06-25,26 hari lagi kadaluarsa
Institut Kesenian Jakarta,Desain Interior,S1,3,4753/SK/BAN-PT/PEPA-Ppj/S/VI/2024,2024,desaininterior@ikj.ac.id,Baik,2029-06-25,Masih Berlaku
Universitas LIA,Desain Komunikasi Visual,S1,3,5794/SK/BAN-PT/Ak.P/S/IX/2024,2024,info@universitaslia.ac.id,Terakreditasi Sementara,2029-09-03,Masih Berlaku
Universitas Negeri Malang,Desain Mode,D-IV,PTN,5852/SK/BAN-PT/PEPA-Ppj/STr/IX/2024,2024,humas@um.ac.id,Baik,2029-09-10,Masih Berlaku
Universitas Putra Indonesia Yptk Padang,Desain Komunikasi Visual,S1,10,5851/SK/BAN-PT/PEPA-Ppj/S/IX/2024,2024,admin@upiyptk.ac.id,B,2029-09-10,Masih Berlaku
Politeknik Negeri Samarinda,Desain Produk Kayu Dan Serat,D-IV,PTN,5626/SK/BAN-PT/Ak/STr/VIII/2024,2024,humas@polnes.ac.id,Baik,2029-08-27,Masih Berlaku
Universitas Komputer Indonesia,Desain Grafis,D-III,4,5686/SK/BAN-PT/PEPA-Ppj/D3/VIII/2024,2024,dg@email.unikom.ac.id,Baik,2029-08-27,Masih Berlaku
Institut Desain Dan Bisnis Bali,Desain Komunikasi Visual,S1,8,5353/SK/BAN-PT/Ak/S/VIII/2024,2024,info@idbbali.ac.id,Baik Sekali,2029-08-13,Masih Berlaku
Universitas Teknologi Bandung,Desain Komunikasi Visual,S1,4,5307/SK/BAN-PT/Ak-PNB/S/VIII/2024,2026,info@utb.ac.id,Baik,2026-12-16,Masih Berlaku
Universitas Catur Insan Cendekia,Desain Komunikasi Visual,S1,4,5148/SK/BAN-PT/Ak.Ppj/S/VII/2024,2024,info@ucic.ac.id,Baik,2029-08-01,Masih Berlaku
Universitas Gunadarma,Desain Interior,S1,3,5162/SK/BAN-PT/Ak.Ppj/S/VII/2024,2024,mediacenter@gunadarma.ac.id,B,2029-07-31,Masih Berlaku
Universitas Pasundan,Desain Komunikasi Visual,S1,4,5198/SK/BAN-PT/Ak.Ppj/S/VII/2024,2024,dkv-unpas@yahoo.com,B,2029-08-14,Masih Berlaku
Institut Teknologi Dan Bisnis Asia Malang,Desain Komunikasi Visual,S1,7,5201/SK/BAN-PT/Ak.Ppj/S/VII/2024,2024,dkv@asia.ac.id,B,2029-08-08,Masih Berlaku
Universitas Brawijaya,Desain Grafis,D-IV,PTN,4649/SK/BAN-PT/Ak/STr/VI/2024,2024,psdesain@ub.ac.id,Baik Sekali,2029-06-11,Masih Berlaku
STMIK Amik Bandung,Desain Komunikasi Visual,S1,4,4629/SK/BAN-PT/Ak.P/S/VI/2024,2024,info@stmik-amikbandung.ac.id,Terakreditasi Sementara,2029-06-11,Masih Berlaku
Institut Teknologi Bandung,Desain,S2,PTN,4966/SK/BAN-PT/Ak.KP/M/VII/2024,2024,fsrditb@yahoo.com,Unggul,2027-06-07,Masih Berlaku
Universitas Bina Nusantara,Desain,S2,3,4920/SK/BAN-PT/Ak.P/M/VII/2024,2024,ferric.limano@binus.edu,Terakreditasi Sementara,2029-07-09,Masih Berlaku
Institut Seni Indonesia Padang Panjang,Desain Komunikasi Visual,S1,PTN,5017/SK/BAN-PT/PEPA-Ppj/S/VII/2024,2025,isi@isi-padangpanjang.ac.id,Baik Sekali,2030-12-16,Masih Berlaku
Universitas Nahdlatul Ulama Pasuruan,Desain Komunikasi Visual,S1,7,4416/SK/BAN-PT/Ak-PNB/S/V/2024,2026,info@unupasuruan.ac.id,Baik,2027-03-03,Masih Berlaku
Institut Teknologi Bandung,Desain Komunikasi Visual,S1,PTN,4270/SK/BAN-PT/Ak.KP/S/V/2024,2024,fsrditb@yahoo.com,Unggul,2027-09-20,Masih Berlaku
Universitas Kristen Maranatha,Desain Interior,S1,4,4386/SK/BAN-PT/Ak.Ppj/S/V/2024,2024,admission@maranatha.edu,A,2029-05-29,Masih Berlaku
Sekolah Tinggi Desain LaSalle,Fashion Desain,D-IV,3,4095/SK/BAN-PT/PEPA-Ppj/STr/V/2024,2024,infojkt@lasallecollege.ac.id,Baik,2029-05-15,Masih Berlaku
Universitas Sebelas Maret,Desain Komunikasi Visual,D-III,PTN,4050/SK/BAN-PT/Ak/D3/V/2024,2024,humas@mail.uns.ac.id,Baik Sekali,2029-05-07,Masih Berlaku
Universitas Potensi Utama,Desain Interior,S1,1,4025/SK/BAN-PT/Ak.Ppj/S/V/2024,2024,info@potensi-utama.ac.id,B,2029-05-22,Masih Berlaku
Universitas Bina Nusantara,Desain Produk,S1,3,4005/SK/BAN-PT/PEPA-Ppj/S/V/2024,2024,rparamita@binus.edu,B,2029-05-04,Masih Berlaku
Universitas Ma Chung,Desain Komunikasi Visual -,S1,7,3910/SK/BAN-PT/Ak/S/IV/2024,2024,info@machung.ac.id,Baik,2029-04-29,Masih Berlaku
Universitas Potensi Utama,Desain Komunikasi Visual,S1,1,3930/SK/BAN-PT/Ak.Ppj/S/IV/2024,2024,info@potensi-utama.ac.id,B,2029-05-08,Masih Berlaku
Universitas Sains Dan Teknologi Komputer,Desain Komunikasi Visual,S1,6,3878/SK/BAN-PT/PEPA-Ppj/S/IV/2024,2024,info@stekom.ac.id,Baik,2028-09-14,Masih Berlaku
Universitas Internasional Semen Indonesia,Desain Komunikasi Visual,S1,7,3678/SK/BAN-PT/Ak.KP/S/IV/2024,2024,info@uisi.ac.id,Baik Sekali,2028-07-25,Masih Berlaku
Institut Seni Indonesia Denpasar,Desain Interior,S1,PTN,3745/SK/BAN-PT/Ak.KP/S/IV/2024,2024,desain@isi-dps.ac.id,Unggul,2027-08-02,Masih Berlaku
Institut Seni Indonesia Denpasar,Desain Komunikasi Visual,S1,PTN,3747/SK/BAN-PT/Ak.KP/S/IV/2024,2024,dkv@isi-dps.ac.id,Unggul,2027-08-02,Masih Berlaku
Universitas Bunda Mulia,Desain Komunikasi Visual,S1,3,3761/SK/BAN-PT/Ak.KP/S/IV/2024,2024,info@ubm.ac.id,Unggul,2027-05-10,Masih Berlaku
Institut Informatika Indonesia Surabaya,Desain Komunikasi Visual,S1,7,3822/SK/BAN-PT/Ak.Ppj/S/IV/2024,2024,desain@ikado.ac.id,B,2029-04-24,Masih Berlaku
Universitas Pembangunan Jaya,Desain Produk,S1,4,3845/SK/BAN-PT/Ak.Ppj/S/IV/2024,2024,info@upj.ac.id,B,2029-04-24,Masih Berlaku
Universitas Kalbis,Desain Komunikasi Visual,S1,3,1255/SK/BAN-PT/Ak-PNB/S/IV/2024,2024,info@kalbis.ac.id,Baik Sekali,2029-02-27,Masih Berlaku
Universitas PGRI Jombang,Desain Komunikasi Visual,S1,7,1231/SK/BAN-PT/Ak.P/S/IV/2024,2024,dkv@upjb.ac.id,Terakreditasi Sementara,2029-04-02,Masih Berlaku
Institut Seni Indonesia Padang Panjang,Desain Produk,S1,PTN,1116/SK/BAN-PT/Ak/S/IV/2024,2024,info@isi-padangpanjang.ac.id,Baik,2029-04-02,Masih Berlaku
Sekolah Tinggi Desain Indonesia Bandung,Desain Interior,S1,4,1104/SK/BAN-PT/Ak/S/IV/2024,2024,stdi.bandung@stdi.ac.id,Baik,2029-04-02,Masih Berlaku
Universitas Hayam Wuruk Perbanas,Desain Komunikasi Visual,S1,7,1086/SK/BAN-PT/Ak/S/IV/2024,2024,sarjanadkv@hayamwuruk.ac.id,Baik,2029-04-02,Masih Berlaku
Institut Seni Budaya Indonesia Bandung,Desain Komunikasi Visual,S1,PTN,1031/SK/BAN-PT/Ak.P/S/III/2024,2024,info@isbi.ac.id,Terakreditasi Sementara,2029-03-26,Masih Berlaku
Universitas Muhammadiyah Purwokerto,Desain Komunikasi Visual,S1,6,1032/SK/BAN-PT/Ak.P/S/III/2024,2024,humas@ump.ac.id,Terakreditasi Sementara,2029-03-26,Masih Berlaku
Universitas Nusa Putra,Desain Komunikasi Visual,S1,4,471/SK/BAN-PT/Ak.Ppj/S/II/2023,2023,info@nusaputra.ac.id,B,2027-11-08,Masih Berlaku
Universitas Nahdlatul Ulama Sidoarjo,Desain Komunikasi Visual,S1,7,704/SK/BAN-PT/Ak/S/III/2023,2023,info@unusida.ac.id,Baik,2028-03-07,Masih Berlaku
Universitas Pembangunan Jaya,Desain Komunikasi Visual,S1,4,830/SK/BAN-PT/Ak.Ppj/S/III/2023,2023,info@upj.ac.id,B,2028-03-14,Masih Berlaku
Universitas Negeri Surabaya,Desain Komunikasi Visual,S1,PTN,978/SK/BAN-PT/Ak/S/III/2023,2023,s1-dkv@unesa.ac.id,Baik Sekali,2028-03-21,Masih Berlaku
Universitas Telkom,Desain Interior,S1,4,1120/SK/BAN-PT/Ak.Ppj/S/III/2023,2023,info@telkomuniversity.ac.id,A,2028-04-11,Masih Berlaku
Universitas Trisakti,Desain Produk,S2,3,1463/SK/BAN-PT/Ak.Ppj/M/IV/2023,2023,fsrd@triskti.ac.id,A,2028-05-03,Masih Berlaku
Universitas Tarumanagara,Desain Komunikasi Visual,S1,3,1695/SK/BAN-PT/Ak.KP/S/V/2023,2023,dkv@untar.ac.id,Unggul,2027-03-30,Masih Berlaku
Universitas Indo Global Mandiri,Desain Komunikasi Visual,S1,2,1958/SK/BAN-PT/Ak.Ppj/S/V/2023,2023,dkv@uigm.ac.id,B,2027-09-13,Masih Berlaku
Universitas Mercu Buana,Desain Interior,S1,3,2345/SK/BAN-PT/Ak/S/VI/2023,2023,umb@mercubuana.ac.id,Baik Sekali,2028-06-20,Masih Berlaku
Universitas Prasetiya Mulya,Desain Produk,S1,3,2462/SK/BAN-PT/Ak/S/VI/2023,2023,info@prasetiyamulya.ac.id,Baik,2028-06-27,Masih Berlaku
Sekolah Tinggi Desain LaSalle,Desain Interior,S1,3,2481/SK/BAN-PT/Ak/S/VI/2023,2023,info@lasallecollege.ac.id,Baik,2028-06-27,Masih Berlaku
Universitas Dian Nuswantoro,Desain Komunikasi Visual (Kampus Kota Kediri),S1,6,2680/SK/BAN-PT/Ak/S/VII/2023,2025,sekretariat@dinus.ac.id,Unggul,2030-11-16,Masih Berlaku
Universitas Komputer Indonesia,Desain Komunikasi Visual,S1,4,3587/SK/BAN-PT/Ak.Ppj/S/IX/2023,2023,dkv@email.unikom.ac.id,B,2028-09-14,Masih Berlaku
Universitas Selamat Sri,Desain Komunikasi Visual,S1,6,3894/SK/BAN-PT/Ak.Ppj/S/IX/2023,2023,info@uss.ac.id,Baik,2028-10-10,Masih Berlaku
Politeknik Bina Madani,Desain Media,D-IV,4,4407/SK/BAN-PT/Ak/STr/X/2023,2023,info@poltekbinamadani.ac.id,Baik,2028-10-31,Masih Berlaku
Universitas Telkom,Desain,S2,4,4520/SK/BAN-PT/Ak/M/XI/2023,2023,info@telkomuniversity.ac.id,Baik Sekali,2028-11-07,Masih Berlaku
Akademi Seni Rupa Dan Desain MSD,Desain Komunikasi Visual,D-III,5,4669/SK/BAN-PT/PEPA-Ppj/D3/XI/2023,2023,contact@msd.ac.id,Baik,2028-08-01,Masih Berlaku
Universitas Bina Nusantara,Desain Interior,S1,3,4678/SK/BAN-PT/PEPA-Ppj/S/XI/2023,2023,a.wulandari@binus.edu,B,2028-11-02,Masih Berlaku
Universitas Paramadina,Desain Produk,S1,3,4702/SK/BAN-PT/Ak/S/XI/2023,2023,info@paramadina.ac.id,Baik,2028-11-14,Masih Berlaku
Sekolah Tinggi Seni Rupa Dan Desain Visi Indonesia,Desain Komunikasi Visual,S1,5,4996/SK/BAN-PT/Ak.Ppj/S/XI/2023,2023,info@stsrdvisi.ac.id,B,2027-08-02,Masih Berlaku
Institut Teknologi Nasional Bandung,Desain Komunikasi Visual,S1,4,4977/SK/BAN-PT/Ak.Ppj/S/XI/2023,2023,humas@itenas.ac.id,A,2028-10-16,Masih Berlaku
Universitas Komputer Indonesia,Desain Interior,S1,4,5321/SK/BAN-PT/PEPA-Ppj/S/XII/2023,2026,humas@unikom.ac.id,Unggul,2031-04-09,Masih Berlaku
Institut Sains Dan Teknologi Al-Kamal,Desain Komunikasi Visual,S1,3,5326/SK/BAN-PT/PEPA-Ppj/S/XII/2023,2023,info@ista.ac.id,Baik,2028-11-14,Masih Berlaku
Universitas Mercu Buana,Desain Produk,S1,3,5317/SK/BAN-PT/PEPA-Ppj/S/XII/2023,2023,umb@mercubuana.ac.id,B,2028-11-02,Masih Berlaku
Universitas Negeri Semarang,Desain Komunikasi Visual,D-III,PTN,5341/SK/BAN-PT/PEPA-Ppj/D3/XII/2023,2023,d3dkv@mail.unnes.ac.id,B,2028-12-29,Masih Berlaku
Institut Seni Budaya Indonesia Tanah Papua,Desain Komunikasi Visual,S1,PTN,559/SK/BAN-PT/Akred/S/I/2022,2022,info@isbi-tanahpapua.ac.id,Baik,2026-08-05,67 hari lagi kadaluarsa
Institut Teknologi Sepuluh Nopember,Desain Produk,S1,PTN,355/SK/BAN-PT/Ak-PPJ/S/I/2022,2022,despro@its.ac.id,A,2026-09-03,96 hari lagi kadaluarsa
Sekolah Tinggi Seni Rupa Dan Desain Visi Indonesia,Desain Komunikasi Visual,D-III,5,442/SK/BAN-PT/Ak-PPJ/Dipl-III/I/2022,2022,info@stsrdvisi.ac.id,B,2026-09-30,123 hari lagi kadaluarsa
Universitas Islam Nahdlatul Ulama Jepara,Desain Produk,S1,6,406/SK/BAN-PT/Ak-PPJ/S/I/2022,2022,faksaintek@unisnu.ac.id,B,2026-09-09,102 hari lagi kadaluarsa
Institut Seni Indonesia Padang Panjang,Desain Mode,D-IV,PTN,686/SK/BAN-PT/Akred/ST/II/2022,2022,isi@isi-padangpanjang.ac.id,Baik,2027-02-02,Masih Berlaku
Universitas Negeri Surabaya,Desain Grafis,D-IV,PTN,1169/SK/BAN-PT/Akred/ST/II/2022,2026,strdesgraf@unesa.ac.id,Baik Sekali,2031-01-13,Masih Berlaku
Universitas Bina Nusantara,Desain Komunikasi Visual,S1,3,1415/SK/BAN-PT/Akred-Itnl/S/III/2022,2022,dadi@binus.edu,Unggul,2027-03-02,Masih Berlaku
Institut Teknologi Bandung,Desain Produk,S1,PTN,2438/SK/BAN-PT/AK-ISK/S/IV/2022,2022,fsrditb@yahoo.com,Unggul,2026-06-03,4 hari lagi kadaluarsa
Universitas Paramadina,Desain Komunikasi Visual,S1,3,3031/SK/BAN-PT/Ak-PPJ/S/V/2022,2022,info@paramadina.ac.id,A,2027-05-31,Masih Berlaku
Institut Seni Indonesia Yogyakarta,Desain Interior,S1,PTN,3926/SK/BAN-PT/Akred-PMT/S/VI/2022,2022,arts@isi.ac.id,Unggul,2027-06-27,Masih Berlaku
Institut Teknologi Dan Bisnis Stikom Ambon,Desain Komunikasi Visual,S1,12,4020/SK/BAN-PT/PB-PS/S/VII/2022,2022,info@stikom-ambon.ac.id,Baik,2027-03-21,Masih Berlaku
